alert_id,timestamp,device,tier,severity,anomaly_type,csaf_status,vote_total,risk_score,detectors
ALT-00509,2026-01-01 00:32:09,iPad,MEDIUM,0.8613619133603642,overheat,PROBABLE,5,0.9165269469496348,"σ-Data,σ-Err,NDT"
ALT-00441,2026-01-01 00:06:43,iPad,MEDIUM,0.8586903470512319,cpu_spike,PROBABLE,6,0.8120774567294213,"σ-Data,σ-Err,NDT,RRCF"
ALT-00014,2026-01-01 00:06:14,iPhone,MEDIUM,0.8347743648355919,cpu_spike,CONFIRMED,5,0.8301794969482087,"σ-Data,σ-Err,NDT"
ALT-00367,2026-01-01 00:32:52,Apple Watch,MEDIUM,0.8251209252607875,cpu_spike,PROBABLE,5,0.855588249528951,"σ-Data,σ-Err,NDT"
ALT-00073,2026-01-01 00:32:29,iPhone,MEDIUM,0.817958289676698,cpu_spike,PROBABLE,4,0.9251539954816993,"σ-Data,σ-Err"
ALT-00317,2026-01-01 00:12:57,Apple Watch,MEDIUM,0.8056089836780457,network_issue,CONFIRMED,3,0.9837599998326811,σ-Data
ALT-00467,2026-01-01 00:17:43,iPad,MEDIUM,0.7973891858798929,cpu_spike,PROBABLE,5,0.7863893838738955,"σ-Data,σ-Err,NDT"
ALT-00274,2026-01-01 00:48:48,MacBook,MEDIUM,0.7961794169256604,cpu_spike,PROBABLE,3,0.9751618570982177,σ-Err
ALT-00345,2026-01-01 00:23:32,Apple Watch,MEDIUM,0.7953351159067411,cpu_spike,PROBABLE,5,0.8055385061849747,"σ-Data,σ-Err,NDT"
ALT-00297,2026-01-01 00:07:04,Apple Watch,MEDIUM,0.7924926084186207,overheat,CONFIRMED,4,0.85563881153957,"σ-Data,σ-Err"
ALT-00250,2026-01-01 00:42:51,MacBook,MEDIUM,0.7911383505958332,overheat,PROBABLE,4,0.8656130445601751,"σ-Data,σ-Err"
ALT-00279,2026-01-01 00:00:50,Apple Watch,MEDIUM,0.7894083777252523,cpu_spike,CONFIRMED,4,0.8445981073591631,"σ-Data,σ-Err"
ALT-00280,2026-01-01 00:01:05,Apple Watch,MEDIUM,0.7893570286724079,overheat,CONFIRMED,4,0.8764309984597238,"σ-Data,σ-Err"
ALT-00552,2026-01-01 00:48:11,iPad,MEDIUM,0.787060101069771,overheat,PROBABLE,4,0.8774431028673523,"σ-Data,σ-Err"
ALT-00025,2026-01-01 00:12:12,iPhone,MEDIUM,0.7854680905323579,cpu_spike,CONFIRMED,4,0.8670488717834567,"σ-Data,σ-Err"
ALT-00378,2026-01-01 00:37:57,Apple Watch,MEDIUM,0.7740809007445224,memory_pressure,PROBABLE,3,0.939883083255261,σ-Data
