device,signal,mean,std,p95
iPhone,latency,81.46171953207607,17.84472749168099,94.07853252780694
iPhone,cpu_usage,50.55365216524987,13.685599014918102,71.68019948142513
iPhone,temperature,40.12960347922774,3.0154838104337127,44.175753429839304
MacBook,latency,62.21400499576037,21.035901459618216,74.76908320704817
MacBook,cpu_usage,65.22225840772522,12.958460642677386,85.74409288508086
MacBook,temperature,51.696551484810534,3.290143295528631,55.5575080021244
Apple Watch,latency,41.79190402448122,18.811145269411853,54.34392405635578
Apple Watch,cpu_usage,30.59122181775486,13.797665991066776,52.057761641592286
Apple Watch,temperature,33.2736632765399,3.3851232856136315,37.2535198945349
iPad,latency,72.10243588795507,20.88993034879975,84.87544816896715
iPad,cpu_usage,45.35823910488759,13.201545144040795,65.77639199914282
iPad,temperature,42.687952123858665,3.1924001122017334,46.52753560223249
